cust_id,customer_joining_date,acc_num,acc_status,rel_type,last_txn_date,branch_code,lien,od_limit,credit_score,gender,occupation,seg,risk_prof,kyc_status,aqb,dob,age,txn_count_last_month,total_txn_value,multi_account_holder,tenure_days
CUST100641,2006-05-27,8784482072710675,Active,Secondary,2025-05-05,BR001,66002.42717272765,207111.90562162787,710,M,Artist,Corporate,Medium,Pending,77868.40325278667,2004-05-27,21,14,53083.01,1,6935
CUST113265,2009-05-26,2128860099754836,Active,Joint,2025-04-13,BR001,6521.252019981816,110734.79805770308,408,F,Farmer,Retail,High,Pending,24568.957583964664,1985-06-01,40,24,72038.95,1,5840
CUST107411,2024-05-22,5589459833163029,Active,Joint,2025-03-16,BR001,42910.42168467292,325963.7988852395,363,M,Entrepreneur,Corporate,Medium,Rejected,44503.76268050917,1956-06-08,69,20,86885.93,1,365
CUST110910,2018-05-24,5935519768133649,Active,Primary,2025-01-04,BR001,10659.749872113369,254131.25158786707,337,F,Accountant,Retail,High,Pending,81614.54485769202,1962-06-07,63,11,40745.9,1,2555
CUST108443,2019-05-24,2274379489812940,Active,Secondary,2025-04-28,BR001,4599.368650794022,262127.29583692132,422,F,Entrepreneur,Retail,High,Rejected,94069.3881659002,1994-05-30,31,4,36347.87,1,2190
CUST108158,2010-05-26,1250611112749521,Active,Primary,2025-04-24,BR001,75964.9459271379,130605.87733830886,336,F,Teacher,HNI,Low,Pending,44236.297894574505,1958-06-08,67,27,2861.87,1,5475
CUST114431,2019-05-24,8485262136469767,Active,Secondary,2025-01-13,BR001,44610.55278979321,20342.11858445605,792,F,Entrepreneur,Retail,Medium,Verified,17566.838748354847,1977-06-03,48,21,35311.23,1,2190
CUST102691,2023-05-23,8237974241699484,Active,Joint,2025-01-02,BR001,64879.5246738871,122328.47543658494,623,M,Teacher,HNI,Medium,Rejected,74264.15998245068,1967-06-06,58,2,12409.33,1,730
CUST114098,2014-05-25,9709031163596078,Active,Secondary,2025-03-12,BR001,95841.55009182265,312295.1398582185,544,F,Software Developer,HNI,Low,Rejected,65452.42207267418,1976-06-03,49,5,72920.5,1,4015
CUST111415,2016-05-24,2247519796990710,Active,Joint,2025-03-30,BR001,22407.271096237968,231159.61947464253,475,F,Merchant,HNI,Low,Verified,43752.74202562195,1960-06-07,65,30,60262.29,1,3285
CUST101660,2023-05-23,8061378043414765,Active,Secondary,2025-04-08,BR001,70233.88549668089,414747.0871244103,406,M,Entrepreneur,Corporate,Low,Pending,75976.889859387,1994-05-30,31,15,48403.7,0,730
CUST105051,2012-05-25,8883584631819341,Active,Joint,2025-02-22,BR001,77452.36593407301,53283.6102313153,304,M,Merchant,Corporate,Low,Rejected,31069.600156974764,1996-05-29,29,20,95017.66,0,4745
CUST100364,2016-05-24,4231733808137744,Active,Primary,2025-02-27,BR001,72207.09435762302,499294.5860242236,744,F,Artist,HNI,High,Rejected,54418.614649593175,1976-06-03,49,18,13834.32,1,3285
CUST113093,2022-05-23,3269155854166586,Active,Joint,2025-01-26,BR001,33132.63222467857,489835.01152822736,556,M,Farmer,HNI,Low,Verified,64294.49521963851,1968-06-05,57,26,25965.53,1,1095
CUST102754,2018-05-24,8489205393367131,Active,Primary,2025-04-18,BR001,50573.196320800685,370242.2783980819,423,M,Software Developer,Corporate,High,Verified,20987.403434022395,1990-05-31,35,20,64270.69,0,2555
CUST111798,2015-05-25,4310630708096761,Active,Primary,2025-02-01,BR001,67165.89224671731,126620.110031298,775,M,Teacher,Corporate,Low,Rejected,55369.346229496805,2005-05-27,20,15,47437.38,1,3650
CUST114065,2015-05-25,8266855052204107,Active,Primary,2025-05-15,BR001,99392.70653243168,24249.287458741608,817,M,Farmer,Retail,Medium,Rejected,25315.23570175338,1998-05-29,27,22,78877.9,0,3650
CUST105932,2016-05-24,3519797261971473,Active,Primary,2025-01-09,BR001,27449.905312752075,317209.26461139624,709,F,Farmer,Retail,High,Rejected,99512.97123522391,1971-06-05,54,12,33650.0,1,3285
CUST104674,2008-05-26,9099329428330223,Active,Primary,2025-04-13,BR001,52907.40463591368,103020.13753145486,585,F,Merchant,HNI,Medium,Pending,54441.03571123494,1965-06-06,60,13,36218.22,0,6205
CUST104176,2018-05-24,4553911143268061,Active,Secondary,2025-05-18,BR001,23778.884967435988,263636.8367131895,497,F,Accountant,Corporate,High,Verified,70191.31333443898,1969-06-05,56,3,92942.26,0,2555
